,Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition,Months at Company
40,18843,18.0,,5,Education,5162,Good,Low,Average,0,Yes,82.0,PhD,Single,4.0,Senior,Large,38,No,No,No,Fair,High,Stayed,61
41,59459,29.0,Male,17,Media,5450,Fair,Very High,High,0,No,41.0,High School,Married,2.0,Mid,Small,32,No,No,No,Good,Medium,Left,203
42,56488,24.0,Male,4,Education,3198,Fair,High,Average,1,No,22.0,Master’s Degree,Married,3.0,Senior,Medium,49,No,No,No,Good,Medium,Left,48
43,11062,24.0,Male,15,Finance,9551,Good,High,Average,0,Yes,40.0,Associate Degree,Single,0.0,Mid,Medium,54,,No,No,Poor,High,Stayed,179
44,70350,41.0,Male,19,Technology,9587,Poor,Very High,Average,2,No,4.0,Bachelor’s Degree,Single,1.0,Mid,Small,32,No,No,No,Fair,Medium,Left,228
45,25065,18.0,Male,9,Healthcare,8419,Good,Medium,High,0,No,84.0,High School,Single,2.0,Senior,Medium,38,No,No,No,Poor,Medium,Left,107
46,59563,55.0,Female,43,,5996,Fair,Medium,Average,0,Yes,99.0,Associate Degree,Single,1.0,Senior,Small,115,,No,Yes,Good,High,Left,515
47,6080,32.0,Female,18,Technology,9434,,Medium,High,0,No,83.0,Master’s Degree,Single,1.0,Mid,Medium,94,No,No,No,Excellent,Low,Left,215
48,65256,50.0,Female,18,Technology,8935,Fair,Medium,Below Average,2,No,,Master’s Degree,Married,1.0,Entry,Small,55,No,No,No,Good,High,Stayed,216
49,55816,28.0,Male,13,,6261,Fair,High,Average,1,No,62.0,Associate Degree,,1.0,Mid,Large,87,No,No,No,Good,Low,Left,155
50,48154,18.0,Male,2,Technology,8865,Good,High,Average,2,No,59.0,Master’s Degree,Married,2.0,Mid,Large,52,No,Yes,No,Good,Low,Stayed,23
51,19598,30.0,Male,2,Education,3089,Poor,High,Average,0,Yes,35.0,Associate Degree,Married,0.0,Entry,Large,39,No,No,No,Poor,Low,Left,25
52,45711,38.0,Male,10,Healthcare,6138,Excellent,High,Average,0,Yes,35.0,High School,,2.0,Entry,Medium,71,No,No,No,Excellent,Medium,Stayed,119
53,31921,46.0,Male,6,Finance,7800,Good,Medium,Below Average,1,No,2.0,High School,Single,5.0,Entry,Large,44,No,No,No,Fair,Low,Left,73
54,28968,27.0,Female,5,,7043,Fair,Medium,Below Average,0,No,39.0,Bachelor’s Degree,Married,0.0,Entry,Small,48,No,No,No,Good,,Stayed,60
55,42658,59.0,Male,3,Healthcare,8326,Good,High,Low,1,No,71.0,Bachelor’s Degree,Married,0.0,Mid,Small,25,No,No,No,Excellent,Low,Left,36
56,33024,34.0,Male,19,Technology,7603,Fair,Very High,Average,1,Yes,20.0,Associate Degree,Single,0.0,Entry,Medium,69,No,No,No,Good,High,Left,227
57,12971,49.0,Male,33,Finance,12628,Poor,High,Average,0,No,19.0,Associate Degree,Single,0.0,Mid,Small,80,Yes,No,No,Good,Medium,Stayed,397
58,5719,53.0,Male,4,Education,3670,Fair,High,Average,0,No,31.0,High School,Single,0.0,Entry,Small,65,No,No,No,Good,Medium,Left,47
59,9331,26.0,Male,11,Technology,9280,Fair,Medium,Below Average,0,No,50.0,Master’s Degree,Divorced,0.0,Mid,Medium,83,No,No,No,Excellent,Medium,Left,131
60,64168,45.0,Male,9,,7242,Good,Very High,Average,0,Yes,37.0,Bachelor’s Degree,Single,3.0,Entry,Medium,63,Yes,No,No,Good,,Left,108
61,20332,20.0,Male,11,Healthcare,9634,Excellent,High,Average,0,No,91.0,PhD,Divorced,1.0,Mid,Medium,37,Yes,No,No,Fair,Medium,Stayed,133
62,11169,52.0,Male,17,Media,5834,Fair,High,High,2,No,86.0,Associate Degree,Married,2.0,Mid,Medium,53,No,No,No,Excellent,Medium,Stayed,203
63,30757,43.0,,26,Education,3973,Good,High,High,1,No,68.0,Associate Degree,Divorced,,Mid,Medium,60,No,No,No,Good,Low,Left,311
64,60983,18.0,Female,8,Media,6010,Fair,High,Average,0,No,53.0,High School,,5.0,Mid,Medium,34,No,No,No,Good,Medium,Left,97
65,26913,31.0,Male,1,Media,5687,Good,Very High,Average,1,No,72.0,Associate Degree,,2.0,Entry,Large,15,No,No,No,Good,High,Left,13
66,7546,22.0,Male,6,Education,3963,Good,Very High,Average,0,No,64.0,Associate Degree,,3.0,Senior,Large,71,No,No,No,Good,Low,Stayed,72
67,67990,53.0,Female,22,Media,4939,Good,High,Average,1,Yes,50.0,Associate Degree,Single,2.0,Senior,Medium,76,Yes,No,No,Fair,Very High,Stayed,264
68,34301,22.0,Male,11,Finance,8595,Good,High,Average,2,Yes,50.0,Bachelor’s Degree,Single,2.0,Entry,Medium,54,No,No,No,Excellent,Low,Left,132
69,14321,25.0,Male,8,Healthcare,8872,Fair,High,Average,0,Yes,46.0,Bachelor’s Degree,Single,0.0,Mid,Large,35,No,No,No,Good,Medium,Left,97
70,53135,39.0,Male,30,Healthcare,8296,Good,High,Average,0,No,22.0,Bachelor’s Degree,Married,1.0,Mid,Medium,35,No,Yes,No,Good,Low,Stayed,360
71,14669,54.0,,6,Education,3631,Fair,High,High,0,Yes,38.0,PhD,Married,3.0,Entry,Medium,68,No,No,No,Poor,High,Left,73
72,43491,56.0,Female,4,Media,6071,Poor,Medium,Average,1,Yes,82.0,Associate Degree,Single,2.0,Entry,Medium,12,,No,Yes,Excellent,Low,Left,49
73,54054,38.0,Male,26,Education,4419,Poor,High,Average,3,No,77.0,Master’s Degree,Single,0.0,Mid,Medium,97,,No,No,Good,Low,Left,311
74,7163,19.0,Male,5,Technology,7391,Fair,Low,Below Average,1,No,51.0,High School,Married,4.0,Entry,Medium,37,No,No,Yes,Poor,Low,Left,59
75,26780,57.0,Male,45,Technology,10599,Good,Very High,Below Average,0,No,23.0,Bachelor’s Degree,Single,2.0,Senior,Medium,71,No,No,Yes,Good,High,Stayed,541
76,13903,35.0,Male,8,Media,6092,Good,Medium,Average,2,No,79.0,PhD,Single,0.0,Entry,Small,58,Yes,No,No,Fair,Low,Stayed,96
77,6649,,Male,16,Healthcare,8727,Poor,High,High,2,No,35.0,High School,Divorced,,Mid,Medium,65,No,No,No,Poor,Low,Stayed,193
78,51846,41.0,Male,6,Healthcare,7252,Good,Medium,Average,2,No,14.0,Associate Degree,Divorced,0.0,Mid,Large,71,No,No,No,Poor,Low,Stayed,73
79,26809,33.0,Male,6,Technology,11283,Good,Low,Average,3,No,8.0,Bachelor’s Degree,Married,0.0,Entry,Large,30,,No,No,Good,Low,Stayed,73
80,64951,42.0,Female,22,Technology,9062,Fair,High,High,3,No,75.0,High School,,1.0,Entry,Medium,77,Yes,No,No,Fair,High,Stayed,264
81,23719,54.0,Male,1,Healthcare,7712,Excellent,Medium,Average,0,No,15.0,Bachelor’s Degree,Married,5.0,Mid,Large,40,No,No,No,Poor,Low,Stayed,11
82,11190,33.0,Male,23,Education,5203,Good,High,Average,1,No,95.0,High School,Single,4.0,Mid,Small,98,No,No,Yes,Excellent,High,Stayed,277
83,29869,21.0,Male,10,Technology,8493,Excellent,Low,High,0,Yes,89.0,Master’s Degree,Married,3.0,Mid,Medium,78,Yes,No,No,Good,,Stayed,121
84,42562,58.0,Male,8,Healthcare,8149,Excellent,Medium,Average,0,No,13.0,PhD,Married,3.0,Mid,Small,69,No,No,Yes,Fair,Medium,Stayed,97
85,3032,36.0,Female,26,Healthcare,9482,Poor,High,Below Average,2,No,44.0,Bachelor’s Degree,Married,4.0,Senior,Small,28,No,No,No,Fair,Medium,Stayed,311
86,26880,27.0,Female,12,Technology,8022,Fair,Medium,High,1,No,73.0,Bachelor’s Degree,Married,1.0,Senior,Small,30,No,No,No,Fair,Low,Left,144
87,47539,32.0,Male,9,Technology,12240,Excellent,High,High,2,No,93.0,Associate Degree,Married,0.0,Senior,Small,73,No,No,Yes,Good,High,Stayed,108
88,4786,59.0,Female,48,Healthcare,8196,Good,Medium,Average,0,No,62.0,Associate Degree,,,Senior,Small,95,No,No,Yes,Good,Medium,Stayed,575
89,68000,22.0,Female,7,Finance,10012,Good,Medium,High,1,No,99.0,Associate Degree,Married,0.0,Senior,Medium,43,No,No,No,Good,Medium,Stayed,84
90,42053,43.0,Male,23,Education,3812,Excellent,High,Average,0,No,96.0,Bachelor’s Degree,Divorced,3.0,Senior,Medium,69,No,No,No,Fair,High,Stayed,275
91,54995,22.0,Female,6,Finance,8767,Good,High,High,0,No,55.0,Associate Degree,,4.0,Mid,Large,63,No,No,No,Good,,Stayed,71
92,1279,55.0,Female,25,Technology,9099,Poor,Low,High,0,No,42.0,Master’s Degree,Single,2.0,Entry,Medium,95,No,No,No,Good,Medium,Left,301
93,13376,32.0,Male,18,Healthcare,8052,Fair,High,Average,0,No,5.0,Bachelor’s Degree,Single,3.0,Entry,Small,33,Yes,No,No,Poor,Medium,Stayed,215
94,13169,42.0,Male,7,Technology,7314,Good,High,High,3,Yes,28.0,Master’s Degree,Married,4.0,Mid,Small,38,No,No,No,Good,Low,Stayed,84
95,33968,56.0,Female,35,,9615,Poor,High,Average,1,No,,Bachelor’s Degree,Married,0.0,Mid,Medium,73,,No,No,Poor,High,Stayed,421
96,25662,41.0,Male,14,Technology,8118,Poor,Low,Average,1,No,3.0,Bachelor’s Degree,Single,4.0,Mid,Medium,63,No,No,No,Good,Low,Left,168
97,34240,57.0,Male,13,Education,4492,Fair,High,Average,3,Yes,27.0,Associate Degree,Married,5.0,Mid,Large,27,No,No,No,Good,,Stayed,156
98,72123,59.0,Female,24,Education,3644,Fair,Low,Below Average,1,No,83.0,Bachelor’s Degree,Married,4.0,Entry,Medium,26,No,No,No,Good,High,Left,288
99,11833,27.0,Female,10,Healthcare,9983,Poor,Very High,Average,0,No,14.0,High School,,0.0,Entry,Medium,49,No,No,No,Poor,High,Stayed,121
100,63405,51.0,Female,41,,8387,Good,High,Average,0,Yes,16.0,Associate Degree,Married,5.0,Mid,Medium,88,No,No,No,Fair,Medium,Stayed,491
101,26938,59.0,Male,9,Technology,10107,Fair,High,Average,0,Yes,22.0,High School,Married,3.0,Senior,Small,66,Yes,No,Yes,Good,Medium,Stayed,108
102,49495,50.0,Male,10,Media,6493,Good,High,High,0,No,29.0,High School,Single,0.0,Mid,Small,72,Yes,No,No,Good,Low,Stayed,121
103,13947,56.0,Male,1,Healthcare,7758,Excellent,Very High,Average,0,No,14.0,Associate Degree,Married,2.0,Entry,Large,32,Yes,Yes,No,Good,Low,Stayed,12
104,62520,,Female,43,Media,6357,Fair,Low,Average,1,No,90.0,High School,Single,0.0,Mid,Medium,44,No,No,No,Poor,High,Left,515
105,52157,42.0,Male,13,Education,3816,Excellent,Low,Average,1,Yes,23.0,High School,Single,,Entry,Medium,49,Yes,No,No,Good,Low,Stayed,156
106,24543,22.0,Male,2,Finance,9492,Good,Very High,Low,1,No,93.0,High School,,1.0,Entry,Medium,47,No,No,No,Good,Low,Left,24
107,54581,57.0,Male,24,Healthcare,9252,Good,Very High,,2,No,32.0,High School,Married,2.0,Mid,Medium,44,No,No,No,Good,Very High,Stayed,287
108,1091,,Male,2,Finance,12142,Fair,Low,Low,1,No,16.0,High School,,1.0,Mid,Medium,67,No,No,No,Good,High,Stayed,24
109,33481,35.0,Male,24,,3298,Fair,Very High,Average,1,No,7.0,Master’s Degree,,4.0,Entry,Medium,84,No,No,No,Good,High,Left,288
110,11336,23.0,Female,5,Healthcare,7127,Poor,High,Average,1,Yes,5.0,,Married,1.0,Senior,Medium,55,No,No,Yes,Good,Low,Stayed,60
111,2108,23.0,Male,12,Healthcare,8423,Fair,Very High,Average,0,No,6.0,Associate Degree,Single,2.0,Senior,Medium,61,,No,No,Fair,Low,Stayed,144
112,6469,34.0,Female,5,Finance,10052,Fair,High,Below Average,0,Yes,25.0,Associate Degree,Married,5.0,Senior,Medium,59,No,No,No,Excellent,Low,Stayed,61
113,66001,24.0,Male,16,Healthcare,8331,Fair,High,Average,0,Yes,88.0,Bachelor’s Degree,Married,0.0,Entry,Medium,49,Yes,No,No,Fair,,Stayed,192
114,39357,55.0,Male,31,Education,5768,Good,High,Average,0,No,39.0,Bachelor’s Degree,Married,1.0,Mid,Small,57,,No,No,Excellent,High,Left,373
115,29600,44.0,Female,4,Technology,10383,Fair,Medium,Below Average,0,No,11.0,Bachelor’s Degree,,,Senior,Medium,51,No,No,No,Poor,Medium,Left,49
116,34896,,Male,10,Technology,11646,Excellent,Medium,Average,1,No,50.0,Bachelor’s Degree,Married,,Mid,Large,24,No,No,No,Good,Low,Stayed,120
117,49124,46.0,Male,23,,7858,Excellent,Medium,Average,0,No,30.0,Associate Degree,Married,3.0,Entry,Medium,50,No,No,Yes,Good,Low,Stayed,277
118,27997,55.0,Female,10,Finance,7169,Good,High,Below Average,0,No,87.0,Bachelor’s Degree,Married,0.0,Mid,Large,33,Yes,No,No,Good,Low,Stayed,120
119,31155,22.0,Female,9,Technology,9093,Good,High,Average,0,No,86.0,Bachelor’s Degree,Divorced,1.0,Entry,Small,33,No,No,No,Poor,High,Left,108
120,38313,30.0,Female,18,Technology,12018,Fair,Medium,Average,0,No,60.0,Master’s Degree,Divorced,1.0,Mid,Large,29,,No,No,Poor,Medium,Left,215
121,7135,29.0,Female,10,Media,6547,Fair,Very High,Average,1,No,66.0,High School,,0.0,Mid,Medium,57,Yes,No,No,Fair,Medium,Stayed,119
122,39553,36.0,Male,11,Education,3883,Excellent,Low,Below Average,2,Yes,26.0,Associate Degree,,1.0,Entry,Small,35,Yes,No,No,Poor,Low,Stayed,132
123,6794,49.0,Male,30,Technology,10084,Fair,Very High,Average,3,No,31.0,PhD,Married,2.0,Entry,Medium,77,No,No,No,Good,Medium,Stayed,361
124,14519,36.0,Female,25,Media,5680,Fair,Very High,Below Average,0,No,87.0,Master’s Degree,,4.0,Mid,Small,73,No,No,No,Poor,Low,Left,299
125,14011,53.0,Male,18,Education,5700,Excellent,Very High,High,0,No,35.0,Bachelor’s Degree,,0.0,Entry,Medium,34,No,No,No,Fair,Medium,Stayed,216
126,16439,49.0,Male,9,Technology,7204,Good,High,Below Average,1,Yes,82.0,Bachelor’s Degree,Single,0.0,Senior,Medium,19,No,No,No,Excellent,Medium,Left,108
127,6335,19.0,Male,11,Education,4934,Fair,High,Average,2,No,32.0,Master’s Degree,Single,2.0,Entry,Large,79,Yes,Yes,No,Fair,Low,Left,133
128,19394,43.0,Female,17,Healthcare,8245,Poor,High,Low,1,No,18.0,Bachelor’s Degree,Single,2.0,Entry,Large,74,Yes,No,No,Fair,Low,Left,203
129,71080,49.0,Male,13,Healthcare,7970,Fair,High,Average,0,No,53.0,Bachelor’s Degree,,4.0,Entry,Medium,21,,No,No,Fair,High,Stayed,155
130,60021,49.0,Female,13,Finance,8164,Good,High,High,1,No,95.0,Associate Degree,Single,0.0,Senior,Small,74,No,No,No,Fair,High,Left,156
131,44982,24.0,Male,6,Healthcare,8635,Good,Low,Average,0,No,99.0,Associate Degree,Single,1.0,Senior,Medium,19,No,No,Yes,Poor,Low,Left,71
132,8899,40.0,Female,4,,6097,Fair,Very High,Average,0,Yes,81.0,High School,Married,,Entry,Small,48,No,No,No,Good,High,Left,48
133,128,43.0,Female,10,Technology,10964,Excellent,Very High,,0,No,94.0,Master’s Degree,Married,2.0,Entry,Medium,22,No,No,No,Good,Medium,Left,121
134,69732,58.0,Female,8,Education,4021,Good,High,Average,3,Yes,78.0,Bachelor’s Degree,Married,1.0,Entry,Medium,65,No,No,No,Fair,High,Left,95
135,46987,40.0,Female,23,,8471,Good,High,High,2,Yes,91.0,Associate Degree,Married,1.0,Entry,Small,30,No,No,No,Fair,Low,Left,276
136,73607,45.0,Female,1,Technology,7841,Excellent,High,Below Average,0,No,35.0,Bachelor’s Degree,Single,3.0,Mid,Medium,19,No,No,Yes,Good,Low,Left,12
137,45755,39.0,Female,3,Education,4428,Good,Low,Average,0,No,90.0,Master’s Degree,Single,0.0,Mid,Medium,50,No,Yes,Yes,Poor,Low,Stayed,36
138,1881,29.0,Male,1,Technology,8703,Good,Very High,Below Average,1,Yes,12.0,Bachelor’s Degree,Married,4.0,Entry,Medium,74,Yes,No,No,Good,Medium,Stayed,12
139,31115,22.0,Female,14,Finance,8200,Good,Medium,Below Average,0,Yes,55.0,,Married,2.0,Mid,Medium,34,No,No,No,Good,Medium,Left,167
140,15295,51.0,Female,42,Healthcare,4830,Fair,High,High,0,No,53.0,Associate Degree,Single,0.0,Mid,Large,94,,No,No,Good,Medium,Left,505
141,15968,55.0,Female,21,Media,6860,Good,Very High,Low,0,No,35.0,Bachelor’s Degree,Married,0.0,Entry,Medium,79,No,No,No,Excellent,Low,Left,253
142,4666,35.0,Female,4,Finance,11105,Fair,High,Low,0,Yes,2.0,Master’s Degree,,0.0,Entry,Small,69,No,No,No,Good,High,Left,48
143,45346,51.0,Female,35,,11078,Poor,High,Average,1,Yes,22.0,Bachelor’s Degree,Divorced,0.0,Mid,Medium,70,Yes,No,No,Good,Low,Stayed,421
144,17550,55.0,Male,41,Media,5448,Poor,High,Average,0,No,5.0,Master’s Degree,Married,4.0,Senior,Medium,111,No,No,Yes,Fair,Medium,Stayed,491
145,61929,57.0,Male,19,Finance,8851,Good,High,High,1,Yes,73.0,Associate Degree,Single,0.0,Entry,Medium,36,,No,No,Fair,Low,Left,227
146,832,57.0,Female,12,Media,6217,Fair,Medium,Average,0,Yes,58.0,Associate Degree,Married,1.0,Mid,Medium,90,Yes,No,No,Good,Low,Stayed,143
147,10269,29.0,Female,17,Healthcare,6642,Good,High,Average,0,Yes,75.0,Master’s Degree,Married,0.0,Entry,Medium,38,,No,No,Fair,Medium,Stayed,204
148,62491,25.0,Male,17,Education,4368,Good,Very High,Average,1,No,69.0,High School,Divorced,2.0,Senior,Medium,46,No,No,No,Good,Medium,Stayed,205
149,41981,22.0,Female,2,Healthcare,9102,Good,High,Average,0,No,85.0,High School,Single,0.0,Senior,Small,16,No,No,No,Poor,Medium,Left,25
150,43687,49.0,Female,3,Technology,9599,Good,High,Below Average,1,No,4.0,Bachelor’s Degree,Divorced,3.0,Mid,Large,58,No,No,No,Fair,Medium,Stayed,37
151,41828,37.0,Female,13,,5983,Fair,High,Average,0,No,11.0,Bachelor’s Degree,Married,0.0,Entry,Small,49,No,No,No,Good,High,Stayed,155
152,70755,41.0,Female,18,,10901,Poor,Very High,Average,2,Yes,72.0,PhD,Divorced,1.0,Senior,Large,78,No,No,No,Good,Medium,Stayed,217
153,9802,49.0,Female,16,Finance,9338,Fair,Very High,Average,0,No,49.0,High School,Married,1.0,Mid,Medium,25,No,No,Yes,Good,Medium,Stayed,192
154,43886,57.0,Female,8,Technology,8598,Good,High,Average,2,Yes,89.0,Master’s Degree,Married,3.0,Senior,Medium,69,No,No,No,Good,,Left,97
155,69600,38.0,Male,2,Finance,9024,Good,Medium,Low,1,No,12.0,Master’s Degree,Married,1.0,Entry,Small,62,No,No,No,Good,Low,Stayed,24
156,66482,36.0,Female,25,Media,5262,Good,Low,Below Average,0,Yes,95.0,Associate Degree,Married,5.0,Entry,Medium,75,No,No,No,Good,,Left,299
157,62883,19.0,Female,2,Education,4561,Good,High,Below Average,0,No,97.0,Associate Degree,Single,3.0,Mid,Medium,49,No,No,No,Fair,Medium,Left,23
158,61496,45.0,Male,8,Healthcare,7569,Excellent,Low,High,0,Yes,76.0,Associate Degree,,2.0,Entry,Small,46,,No,Yes,Good,Medium,Left,97
159,39479,42.0,Female,18,,8549,Poor,Very High,Average,0,Yes,94.0,High School,Divorced,2.0,Senior,Large,37,,No,No,Poor,Low,Left,217
160,40258,21.0,Male,9,Education,4742,Good,High,Average,1,No,69.0,High School,Married,0.0,Entry,Medium,73,,No,No,Good,Low,Left,108
161,46253,24.0,Male,5,Healthcare,8231,Fair,High,Average,2,Yes,41.0,Master’s Degree,Married,1.0,Mid,Medium,74,,No,No,Good,High,Stayed,59
162,36030,25.0,Male,11,Technology,9236,Excellent,High,Average,0,No,80.0,Bachelor’s Degree,Married,0.0,Senior,Small,31,No,No,No,Good,Low,Stayed,132
163,67337,24.0,Female,15,Technology,7575,Fair,Very High,Average,0,No,91.0,High School,,0.0,Entry,Medium,17,No,No,Yes,Poor,High,Left,180
164,63733,42.0,Male,28,Media,6956,Good,Very High,Below Average,3,Yes,17.0,Master’s Degree,,0.0,Mid,Large,33,No,No,No,Excellent,High,Stayed,337
165,65401,43.0,Female,19,Healthcare,8167,Excellent,High,Average,1,No,87.0,Bachelor’s Degree,,4.0,Senior,Medium,69,No,No,No,Fair,High,Stayed,229
166,44205,29.0,Male,18,Education,3294,Good,Very High,Average,0,No,42.0,Associate Degree,Single,0.0,Senior,Medium,92,Yes,No,No,Good,Low,Stayed,216
