,Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Purchase Amount (USD)
31,32.0,33.0,Male,Dress,Clothing,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45.0,Venmo,Monthly,79.0
32,33.0,36.0,Male,Jacket,Outerwear,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37.0,Venmo,Annually,67.0
33,34.0,54.0,Male,Pants,Clothing,Colorado,L,,Summer,3.3,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,38.0
34,35.0,36.0,Male,T-shirt,Clothing,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38.0,PayPal,Quarterly,91.0
35,36.0,54.0,Male,Blouse,Clothing,Massachusetts,M,Cyan,Summer,4.0,,2-Day Shipping,Yes,Yes,48.0,Credit Card,Bi-Weekly,33.0
36,37.0,35.0,Male,T-shirt,Clothing,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44.0,PayPal,Fortnightly,69.0
37,38.0,35.0,Male,Jeans,Clothing,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10.0,PayPal,Weekly,45.0
38,39.0,29.0,Male,Dress,Clothing,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,,Every 3 Months,37.0
39,40.0,70.0,Male,Pants,Clothing,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18.0,Credit Card,Monthly,60.0
40,41.0,69.0,Male,Handbag,Accessories,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31.0,Debit Card,Quarterly,76.0
41,42.0,67.0,Male,Scarf,Accessories,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40.0,Venmo,Annually,39.0
42,43.0,20.0,Male,Coat,Outerwear,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15.0,PayPal,Annually,100.0
43,44.0,25.0,Male,Scarf,Accessories,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19.0,PayPal,Fortnightly,69.0
44,45.0,39.0,Male,Hat,Accessories,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,53.0
45,46.0,50.0,Male,Socks,Clothing,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25.0,PayPal,Annually,21.0
46,47.0,57.0,Male,Shirt,Clothing,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45.0,Cash,Quarterly,43.0
47,48.0,55.0,Male,Jewelry,Accessories,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36.0,Cash,Weekly,54.0
48,49.0,42.0,Male,Shirt,Clothing,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38.0,Cash,Monthly,55.0
49,50.0,68.0,Male,Hoodie,Clothing,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34.0,Debit Card,Bi-Weekly,30.0
50,51.0,49.0,Male,Blouse,Clothing,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39.0,Debit Card,Bi-Weekly,28.0
51,52.0,59.0,Male,Skirt,Clothing,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7.0,Credit Card,Quarterly,59.0
52,53.0,42.0,Male,T-shirt,Clothing,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26.0,Credit Card,Weekly,20.0
53,54.0,29.0,Male,Skirt,Clothing,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35.0,Credit Card,Weekly,24.0
54,55.0,47.0,Male,Coat,Outerwear,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35.0,Debit Card,Bi-Weekly,94.0
55,56.0,40.0,Male,Jacket,Outerwear,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49.0,Credit Card,Annually,28.0
56,57.0,41.0,Male,Backpack,Accessories,Mississippi,,Brown,Summer,4.7,Yes,Store Pickup,,Yes,46.0,Credit Card,Weekly,73.0
57,58.0,21.0,Male,Coat,Outerwear,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17.0,Debit Card,Fortnightly,64.0
58,59.0,69.0,Male,Hoodie,Clothing,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29.0,Venmo,Monthly,54.0
59,60.0,63.0,Male,Belt,Accessories,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4.0,Debit Card,Weekly,79.0
60,61.0,50.0,Male,Sweater,Clothing,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17.0,Cash,Weekly,37.0
61,62.0,55.0,Male,Scarf,Accessories,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21.0,Credit Card,Every 3 Months,68.0
62,63.0,30.0,Male,Sneakers,Footwear,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31.0,Credit Card,Fortnightly,21.0
63,64.0,33.0,Male,Sunglasses,Accessories,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43.0,Credit Card,Weekly,79.0
64,65.0,65.0,Male,Boots,Footwear,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18.0,Debit Card,Fortnightly,83.0
65,66.0,65.0,Male,Backpack,Accessories,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Venmo,Every 3 Months,36.0
66,67.0,31.0,Male,Blouse,Clothing,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3.0,Venmo,Every 3 Months,94.0
67,68.0,45.0,Male,Coat,Outerwear,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49.0,Debit Card,Monthly,33.0
68,69.0,57.0,Male,Handbag,Accessories,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21.0,Cash,Every 3 Months,46.0
69,70.0,48.0,Male,Belt,Accessories,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5.0,Cash,Weekly,70.0
70,71.0,22.0,Male,Belt,Accessories,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32.0,Debit Card,Every 3 Months,29.0
71,72.0,36.0,Male,Dress,Clothing,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34.0,Bank Transfer,Annually,48.0
72,73.0,18.0,Male,Dress,Clothing,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21.0,Bank Transfer,Every 3 Months,26.0
73,74.0,48.0,Male,Pants,Clothing,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43.0,Bank Transfer,Bi-Weekly,85.0
74,75.0,49.0,Male,Gloves,Accessories,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3.0,Cash,Monthly,58.0
75,76.0,64.0,Male,Scarf,Accessories,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21.0,Credit Card,Annually,85.0
76,77.0,50.0,Male,Hat,Accessories,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32.0,Venmo,Monthly,43.0
77,78.0,22.0,Male,Dress,Clothing,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36.0,Debit Card,Fortnightly,53.0
78,79.0,50.0,Male,Skirt,Clothing,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50.0,Venmo,Fortnightly,91.0
79,80.0,38.0,Male,Jacket,Outerwear,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43.0,Bank Transfer,Every 3 Months,96.0
80,81.0,19.0,Male,Sandals,Footwear,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24.0,Credit Card,Every 3 Months,72.0
81,82.0,67.0,Male,Shoes,Footwear,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36.0,Credit Card,Every 3 Months,96.0
82,83.0,19.0,Male,Pants,Clothing,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21.0,Credit Card,Every 3 Months,28.0
83,84.0,36.0,Male,,Clothing,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34.0,Bank Transfer,Weekly,40.0
84,85.0,52.0,Male,Coat,Outerwear,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42.0,Bank Transfer,Every 3 Months,32.0
85,86.0,53.0,Male,Sunglasses,Accessories,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2.0,Debit Card,Bi-Weekly,95.0
86,87.0,24.0,Male,Hoodie,Clothing,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47.0,Cash,Bi-Weekly,41.0
87,88.0,52.0,Male,Shoes,Footwear,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44.0,Debit Card,Fortnightly,53.0
88,89.0,33.0,Male,,Clothing,Wyoming,M,Orange,,3.5,Yes,Free Shipping,Yes,Yes,35.0,Credit Card,Monthly,47.0
89,90.0,47.0,Male,Jacket,Outerwear,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15.0,Cash,Quarterly,83.0
90,91.0,25.0,Male,Hat,Accessories,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29.0,Credit Card,Monthly,48.0
91,92.0,44.0,Male,Scarf,Accessories,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18.0,Credit Card,Every 3 Months,99.0
92,93.0,61.0,Male,Jacket,Outerwear,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13.0,Venmo,Every 3 Months,87.0
93,94.0,37.0,Male,Sweater,Clothing,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,,46.0,Credit Card,Weekly,62.0
94,95.0,58.0,Male,Skirt,Clothing,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28.0,Credit Card,Weekly,76.0
95,96.0,37.0,Male,Sneakers,Footwear,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48.0,PayPal,Monthly,100.0
96,97.0,32.0,Male,Gloves,Accessories,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43.0,Venmo,Every 3 Months,73.0
97,98.0,21.0,Male,Shoes,Footwear,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37.0,Cash,Annually,92.0
98,99.0,20.0,Male,Jeans,Clothing,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20.0,Bank Transfer,Annually,67.0
99,100.0,26.0,Male,Hoodie,Clothing,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33.0,Debit Card,Quarterly,40.0
100,101.0,62.0,Male,Sunglasses,Accessories,South Dakota,M,Maroon,Fall,,Yes,Express,Yes,Yes,31.0,Cash,Fortnightly,98.0
101,,27.0,Male,Coat,Outerwear,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50.0,Credit Card,Bi-Weekly,85.0
102,103.0,51.0,Male,Socks,Clothing,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35.0,Credit Card,Quarterly,67.0
103,104.0,54.0,Male,Boots,Footwear,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22.0,Venmo,Bi-Weekly,89.0
104,105.0,55.0,Male,Sunglasses,Accessories,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1.0,PayPal,Monthly,
105,106.0,69.0,Male,Backpack,Accessories,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4.0,Bank Transfer,Annually,96.0
106,107.0,64.0,Male,Jacket,Outerwear,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31.0,Credit Card,Monthly,35.0
107,108.0,28.0,Male,Sneakers,Footwear,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46.0,PayPal,Fortnightly,67.0
108,109.0,70.0,Male,Socks,Clothing,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32.0,Bank Transfer,Bi-Weekly,79.0
109,110.0,58.0,Male,T-shirt,Clothing,Alabama,M,Violet,Spring,2.6,Yes,,Yes,Yes,43.0,Bank Transfer,Fortnightly,85.0
110,111.0,56.0,Male,Backpack,Accessories,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26.0,Venmo,Fortnightly,26.0
111,112.0,26.0,Male,Belt,Accessories,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9.0,Credit Card,Annually,75.0
112,113.0,37.0,Male,Gloves,Accessories,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28.0,PayPal,Bi-Weekly,65.0
113,114.0,44.0,Male,Hat,Accessories,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20.0,PayPal,,54.0
114,115.0,70.0,Male,Coat,Outerwear,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9.0,Cash,Weekly,95.0
115,116.0,53.0,Male,Skirt,Clothing,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48.0,Debit Card,Every 3 Months,94.0
116,117.0,55.0,Male,Shoes,Footwear,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12.0,Venmo,Annually,86.0
117,118.0,50.0,Male,Sandals,Footwear,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29.0,Cash,Fortnightly,32.0
118,119.0,50.0,Male,Sweater,Clothing,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27.0,Cash,Bi-Weekly,45.0
119,120.0,38.0,Male,Coat,Outerwear,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44.0,Cash,Annually,76.0
120,121.0,64.0,Male,Hat,Accessories,,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32.0,Bank Transfer,Annually,84.0
121,122.0,19.0,Male,Shorts,Clothing,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11.0,Cash,Fortnightly,72.0
122,123.0,40.0,Male,Backpack,Accessories,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Cash,Fortnightly,40.0
123,124.0,57.0,Male,Sweater,Clothing,Louisiana,L,,Fall,3.1,Yes,Free Shipping,Yes,Yes,46.0,Cash,Weekly,89.0
124,125.0,44.0,Male,Sweater,Clothing,Nevada,M,Gray,Spring,3.1,Yes,,Yes,Yes,50.0,PayPal,Annually,86.0
125,126.0,49.0,Male,Shorts,Clothing,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45.0,Venmo,Every 3 Months,54.0
126,127.0,43.0,Male,,Clothing,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48.0,Cash,Every 3 Months,36.0
127,128.0,24.0,Male,Sweater,Clothing,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26.0,Credit Card,Weekly,89.0
128,129.0,20.0,Male,Scarf,Accessories,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21.0,Credit Card,Fortnightly,32.0
129,130.0,24.0,,Dress,Clothing,Pennsylvania,XL,Olive,,4.2,Yes,2-Day Shipping,Yes,Yes,49.0,PayPal,Bi-Weekly,67.0
130,131.0,44.0,Male,Scarf,Accessories,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13.0,PayPal,Fortnightly,39.0
131,132.0,28.0,Male,Skirt,Clothing,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46.0,Credit Card,Weekly,29.0
132,133.0,30.0,Male,Backpack,Accessories,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42.0,PayPal,Weekly,58.0
133,134.0,52.0,Male,Sweater,Clothing,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25.0,Venmo,Annually,65.0
134,135.0,43.0,Male,Hat,Accessories,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25.0,Cash,Monthly,94.0
135,136.0,43.0,Male,Sandals,Footwear,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12.0,PayPal,Quarterly,81.0
136,137.0,39.0,Male,Blouse,Clothing,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,,Debit Card,Quarterly,86.0
137,138.0,68.0,Male,Sneakers,Footwear,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38.0,PayPal,Weekly,43.0
138,139.0,68.0,Male,Skirt,Clothing,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42.0,Bank Transfer,Weekly,29.0
139,140.0,49.0,Male,Coat,Outerwear,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30.0,Venmo,Annually,
140,141.0,63.0,Male,Shirt,Clothing,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50.0,Credit Card,Weekly,28.0
141,142.0,56.0,Male,Gloves,Accessories,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45.0,PayPal,Weekly,46.0
142,143.0,37.0,Male,Jacket,Outerwear,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33.0,Credit Card,Fortnightly,58.0
143,144.0,30.0,Male,Coat,Outerwear,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25.0,PayPal,Quarterly,48.0
144,145.0,19.0,Male,Shoes,Footwear,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25.0,Cash,Monthly,43.0
145,146.0,24.0,Male,Jewelry,Accessories,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44.0,Debit Card,Quarterly,95.0
146,147.0,52.0,Male,Skirt,Clothing,Colorado,S,Black,Fall,4.0,Yes,Standard,Yes,Yes,21.0,Venmo,Fortnightly,30.0
147,148.0,63.0,Male,Shoes,Footwear,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31.0,Bank Transfer,Fortnightly,64.0
148,149.0,37.0,Male,Gloves,Accessories,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47.0,Debit Card,Annually,90.0
149,150.0,38.0,Male,Pants,Clothing,Delaware,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14.0,PayPal,Monthly,76.0
150,,35.0,Male,Boots,Footwear,California,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17.0,Debit Card,Every 3 Months,96.0
151,152.0,28.0,Male,Sunglasses,Accessories,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3.0,Venmo,Annually,47.0
152,153.0,30.0,Male,Shirt,Clothing,South Carolina,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,42.0,Venmo,Annually,85.0
153,154.0,69.0,Male,Hoodie,Clothing,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22.0,Debit Card,Annually,55.0
154,155.0,41.0,Male,Dress,Clothing,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21.0,Venmo,Quarterly,98.0
155,156.0,63.0,Male,Socks,Clothing,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21.0,Bank Transfer,Quarterly,77.0
156,157.0,35.0,Male,Shorts,Clothing,Missouri,M,Lavender,Fall,4.0,Yes,Standard,,Yes,40.0,Debit Card,Annually,26.0
157,158.0,36.0,Male,Hat,Accessories,Vermont,S,Yellow,Fall,3.0,Yes,Next Day Air,Yes,Yes,1.0,Bank Transfer,Fortnightly,68.0
158,159.0,25.0,Male,Shirt,Clothing,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50.0,Bank Transfer,Monthly,73.0
159,160.0,58.0,Male,Gloves,Accessories,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39.0,Bank Transfer,Every 3 Months,27.0
160,161.0,27.0,Male,Gloves,Accessories,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34.0,,Monthly,23.0
161,162.0,65.0,Male,Backpack,Accessories,North Dakota,M,Olive,Fall,3.0,Yes,Express,Yes,Yes,29.0,Venmo,Fortnightly,49.0
162,163.0,54.0,Male,Sunglasses,Accessories,California,M,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,Yes,31.0,PayPal,Bi-Weekly,74.0
163,164.0,54.0,Male,Skirt,Clothing,Virginia,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8.0,Debit Card,Weekly,67.0
164,165.0,59.0,Male,Handbag,Accessories,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5.0,Credit Card,Fortnightly,65.0
165,166.0,42.0,Male,Handbag,Accessories,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7.0,Cash,Monthly,60.0
166,167.0,46.0,Male,Sneakers,Footwear,Delaware,XL,Indigo,Fall,4.0,Yes,Store Pickup,Yes,Yes,30.0,Cash,Monthly,31.0
167,168.0,33.0,Male,Gloves,Accessories,Arkansas,M,Green,Fall,4.0,Yes,Express,Yes,Yes,14.0,Credit Card,Every 3 Months,27.0
168,169.0,34.0,Male,Shoes,Footwear,Louisiana,M,Magenta,Summer,3.0,Yes,Express,Yes,Yes,5.0,Cash,Fortnightly,80.0
169,170.0,27.0,Male,Jacket,Outerwear,Nevada,S,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3.0,PayPal,Every 3 Months,30.0
170,171.0,52.0,Male,Shirt,Clothing,Wyoming,M,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46.0,Venmo,Bi-Weekly,25.0
171,172.0,29.0,Male,Shorts,Clothing,Virginia,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4.0,Credit Card,Weekly,35.0
