Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Stage,Legendary
Nidoking,Poison,Ground,505,81,102,77,85,75,85,3,False
Clefairy,Fairy,,323,70,45,48,60,65,35,1,False
Clefable,Fairy,,483,95,70,73,95,90,60,2,False
Vulpix,Fire,,299,38,41,40,50,65,65,1,False
Ninetales,Fire,,505,73,76,75,81,100,100,2,False
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,2,False
Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
Golbat,Poison,Flying,455,75,80,70,65,75,90,2,False
Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
Gloom,Grass,Poison,395,60,65,70,85,75,40,2,False
Vileplume,Grass,Poison,490,75,80,85,110,90,50,3,False
Paras,Bug,Grass,285,35,70,55,45,55,25,1,False
Parasect,Bug,Grass,405,60,95,80,60,80,30,2,False
Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False
Venomoth,Bug,Poison,450,70,65,60,90,75,90,2,False
Diglett,Ground,,265,10,55,25,35,45,95,1,False
Dugtrio,Ground,,405,35,80,50,50,70,120,2,False
Meowth,Normal,,290,40,45,35,40,40,90,1,False
Persian,Normal,,440,65,70,60,65,65,115,2,False
Psyduck,Water,,320,50,52,48,65,50,55,1,False
Golduck,Water,,500,80,82,78,95,80,85,2,False
Mankey,Fighting,,305,40,80,35,35,45,70,1,False
Primeape,Fighting,,455,65,105,60,60,70,95,2,False
Growlithe,Fire,,350,55,70,45,70,50,60,1,False
Arcanine,Fire,,555,90,110,80,100,80,95,2,False
Poliwag,Water,,300,40,50,40,40,40,90,1,False
Poliwhirl,Water,,385,65,65,65,50,50,90,2,False
Poliwrath,Water,Fighting,510,90,95,95,70,90,70,3,False
Abra,Psychic,,310,25,20,15,105,55,90,1,False
Kadabra,Psychic,,400,40,35,30,120,70,105,2,False
Alakazam,Psychic,,500,55,50,45,135,95,120,3,False
Machop,Fighting,,305,70,80,50,35,35,35,1,False
Machoke,Fighting,,405,80,100,70,50,60,45,2,False
Machamp,Fighting,,505,90,130,80,65,85,55,3,False
Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False
Weepinbell,Grass,Poison,390,65,90,50,85,45,55,2,False
Victreebel,Grass,Poison,490,80,105,65,100,70,70,3,False
Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
Tentacruel,Water,Poison,515,80,70,65,80,120,100,2,False
Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False
Graveler,Rock,Ground,390,55,95,115,45,45,35,2,False
Golem,Rock,Ground,495,80,120,130,55,65,45,3,False
Ponyta,Fire,,410,50,85,55,65,65,90,1,False
Rapidash,Fire,,500,65,100,70,80,80,105,2,False
Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False
Slowbro,Water,Psychic,490,95,75,110,100,80,30,2,False
Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
Magneton,Electric,Steel,465,50,60,95,120,70,70,2,False
Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False
Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False
Dodrio,Normal,Flying,460,60,110,70,60,60,100,2,False
Seel,Water,,325,65,45,55,45,70,45,1,False
Dewgong,Water,Ice,475,90,70,80,70,95,70,2,False
Grimer,Poison,,325,80,80,50,40,50,25,1,False
Muk,Poison,,500,105,105,75,65,100,50,2,False
Shellder,Water,,305,30,65,100,45,25,40,1,False
Cloyster,Water,Ice,525,50,95,180,85,45,70,2,False
Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False
Haunter,Ghost,Poison,405,45,50,45,115,55,95,2,False
Gengar,Ghost,Poison,500,60,65,60,130,75,110,3,False
Onix,Rock,Ground,385,35,45,160,30,45,70,1,False
Drowzee,Psychic,,328,60,48,45,43,90,42,1,False
Hypno,Psychic,,483,85,73,70,73,115,67,2,False
Krabby,Water,,325,30,105,90,25,25,50,1,False
Kingler,Water,,475,55,130,115,50,50,75,2,False
Voltorb,Electric,,330,40,30,50,55,55,100,1,False
Electrode,Electric,,480,60,50,70,80,80,140,2,False
Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,2,False
Cubone,Ground,,320,50,50,95,40,50,35,1,False
Marowak,Ground,,425,60,80,110,50,80,45,2,False
Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False
Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False
Lickitung,Normal,,385,90,55,75,60,75,30,1,False
Koffing,Poison,,340,40,65,95,60,45,35,1,False
Weezing,Poison,,490,65,90,120,85,70,60,2,False
Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
Rhydon,Ground,Rock,485,105,130,120,45,45,40,2,False
Chansey,Normal,,450,250,5,5,35,105,50,1,False
Tangela,Grass,,435,65,55,115,100,40,60,1,False
Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False
Horsea,Water,,295,30,40,70,70,25,60,1,False
Seadra,Water,,440,55,65,95,95,45,85,2,False
Goldeen,Water,,320,45,67,60,35,50,63,1,False
Seaking,Water,,450,80,92,65,65,80,68,2,False
Staryu,Water,,340,30,45,55,70,55,85,1,False
Starmie,Water,Psychic,520,60,75,85,100,85,115,2,False
Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False
Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
Electabuzz,Electric,,490,65,83,57,95,85,105,1,False
Magmar,Fire,,495,65,95,57,100,85,93,1,False
Pinsir,Bug,,500,65,125,100,55,70,85,1,False
Tauros,Normal,,490,75,100,95,40,70,110,1,False
Magikarp,Water,,200,20,10,55,15,20,80,1,False
Gyarados,Water,Flying,540,95,125,79,60,100,81,2,False
Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
Ditto,Normal,,288,48,48,48,48,48,48,1,False
Eevee,Normal,,325,55,55,50,45,65,55,1,False
Vaporeon,Water,,525,130,65,60,110,95,65,2,False
Jolteon,Electric,,525,65,65,60,110,95,130,2,False
Flareon,Fire,,525,65,130,60,95,110,65,2,False
Porygon,Normal,,395,65,60,70,85,75,40,1,False
Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False
Omastar,Rock,Water,495,70,60,125,115,70,55,2,False
Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False
Kabutops,Rock,Water,495,60,115,105,65,70,80,2,False
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
Snorlax,Normal,,540,160,110,65,65,110,30,1,False
Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True
Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True
Dratini,Dragon,,300,41,64,45,50,50,50,1,False
Dragonair,Dragon,,420,61,84,65,70,70,70,2,False
Dragonite,Dragon,Flying,600,91,134,95,100,100,80,3,False
Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
Mew,Psychic,,600,100,100,100,100,100,100,1,False
